id,title,year,duration,rating
182,12 Anos de Escravidão,2013,2h 14m,14
183,Antes do Amanhecer,1995,1h 41m,12
184,O Grande Hotel Budapeste,2014,1h 39m,14
185,Ben-Hur,1959,3h 32m,Livre
186,Barry Lyndon,1975,3h 5m,Livre
187,Garota Exemplar,2014,2h 29m,14
188,Em Busca do Ouro,1925,1h 35m,Livre
189,Até o Último Homem,2016,2h 19m,16
190,Em Nome do Pai,1993,2h 13m,16
191,Memórias de um Assassino,2003,2h 11m,14
192,Sindicato de Ladrões,1954,1h 48m,14
193,A General,1926,1h 18m,Livre
194,O Franco Atirador,1978,3h 3m,18
195,Sociedade dos Poetas Mortos,1989,2h 8m,12
196,Relatos Selvagens,2014,2h 2m,14
197,Morangos Silvestres,1957,1h 31m,10
198,Mad Max: Estrada da Fúria,2015,2h,16
199,O 3º Homem,1949,1h 44m,14
200,O Salário do Medo,1953,2h 11m,16
201,Bancando o Águia,1924,45m,Passed
202,Monstros S.A.,2001,1h 32m,Livre
203,Tubarão,1975,2h 4m,14
204,A Mulher Faz o Homem,1939,2h 9m,Livre
205,Como Treinar o Seu Dragão,2010,1h 38m,Livre
206,Mary e Max: Uma Amizade Diferente,2009,1h 32m,12
207,Ford vs Ferrari,2019,2h 32m,12
208,O Sétimo Selo,1957,1h 36m,12
209,Ratatouille,2007,1h 51m,Livre
210,O Quarto de Jack,2015,1h 58m,14
211,O Grande Lebowski,1998,1h 57m,14
212,Era uma Vez em Tóquio,1953,2h 16m,10
213,Rocky - Um Lutador,1976,2h,12
214,Hotel Ruanda,2004,2h 1m,14
215,Logan,2017,2h 17m,16
216,Spotlight - Segredos Revelados,2015,2h 9m,12
217,Platoon,1986,2h,14
218,O Martírio de Joana D'Arc,1928,1h 50m,14
219,O Exterminador do Futuro,1984,1h 47m,14
220,Antes do Pôr do Sol,2004,1h 20m,12
221,Jai Bhim,2021,2h 44m,TV-MA
222,Rush: No Limite da Emoção,2013,2h 3m,14
223,Os Melhores Anos de Nossa Vida,1946,2h 50m,Livre
224,Rede de Intrigas,1976,2h 1m,14
225,O Exorcista,1973,2h 2m,14
226,O Ódio,1995,1h 38m,16
227,Conta Comigo,1986,1h 29m,12
228,Piratas do Caribe: A Maldição do Pérola Negra,2003,2h 23m,14
229,O Mágico de Oz,1939,1h 42m,Livre
230,Os Incríveis,2004,1h 55m,Livre
231,Na Natureza Selvagem,2007,2h 28m,12
232,Ser ou Não Ser,1942,1h 39m,Livre
233,Sempre ao Seu Lado,2009,1h 33m,Livre
234,A Criada,2016,2h 25m,18
235,Meu Pai e Meu Filho,2005,1h 52m,Not Rated
236,As Vinhas da Ira,1940,2h 9m,12
237,A Batalha de Argel,1966,2h 1m,14
238,Feitiço do Tempo,1993,1h 41m,12
239,A Noviça Rebelde,1965,2h 52m,Livre
240,Amores Brutos,2000,2h 34m,16
241,"Rebecca, a Mulher Inesquecível",1940,2h 10m,12
242,Rebeldia Indomável,1967,2h 7m,14
243,O Gigante de Ferro,1999,1h 26m,Livre
244,Histórias Cruzadas,2011,2h 26m,12
245,Aconteceu Naquela Noite,1934,1h 45m,Livre
246,A Canção da Estrada,1955,2h 5m,12
247,Os Incompreendidos,1959,1h 39m,12
248,Aladdin,1992,1h 30m,Livre
249,Dança com Lobos,1990,3h 1m,14
